title,info,topic,date
"Key Data Science, Machine Learning, AI and Analytics Developments of 2022","It's the end of the year, and so it's time for KDnuggets to assemble a team of experts and get to the bottom of what the most important data science, machine learning, AI and analytics developments of 2022 were.",News,"- Dec 29, 2022."
Top KDnuggets Post of 2022: Is Data Science a Dying Career?,"Also: The Complete Collection of Data Science Cheat Sheets • 15 Python Coding Interview Questions You Must Know For Data Science • Free Python for Data Science Course • The High Paying Side Hustles for Data Scientists • Vanishing Gradient Problem, Explained",News,"- Dec 23, 2022."
Markdown Cheatsheet,"Markdown is a lightweight markup language for creating formatted text using a plain-text editor. Grab this handy reference sheet to make certain you know how to implement what you need to, when you want to!",Programming,"- Dec 14, 2022."
How to Make Documenting Code Easier,Helping programmers write better code documentation with maximum effort.,Programming,"- Dec 12, 2022."
The 5 Rules For Good Data Science Project Documentation,"Once data scientist finishes building the project, they will need to do the task that most of us hate that is documenting the code.",Programming,"- Dec 8, 2022."
What is a Function?,This guide will help you understand the concepts of Javascript functions and their structure.,Programming,"- Nov 28, 2022."
How to Setup Julia on Jupyter Notebook,Learn three simple steps to install Julia for Jupyter Notebook and write your first data visualization code.,Programming,"- Nov 17, 2022."
Git for Data Science Cheatsheet,Knowing git is no longer an option for data professionals. Grab this handy reference sheet now and make sure you know how to git the job done.,Programming,"- Nov 16, 2022."
7 Tips To Produce Readable Data Science Code,"In this article, we will go over a few steps that you can take to produce readable, high-quality code.",Programming,"- Nov 2, 2022."
Should I Learn Julia?,Do you think learning Julia is better for your data science career? Let’s find out.,Programming,"- Nov 1, 2022."
Top Free Git GUI Clients for Beginners,Learn about beginner-friendly Git GUI clients and perform Git-based tasks using an interactive user interface.,Programming,"- Oct 3, 2022."
How To Calculate Algorithm Efficiency,"In this article, we will discuss how to calculate algorithm efficiency, focusing on two main ways to measure it and providing an overview of the calculation process.",Programming,"- Sep 20, 2022."
"10 Pandas One Liners for Data Access, Manipulation, and Management","These 10 one liners will help you start to access, manipulate, and manage data using Pandas.",Python,"- Jan 30, 2023."
How to Track the Location of an IP Address using Python,Learn how to geolocate an IP Address or a Domain Name using the python library named Ip2geotools.,Python,"- Jan 25, 2023."
ChatGPT as a Python Programming Assistant,"Is ChatGPT useful for Python programmers, specifically those of us who use Python for data processing, data cleaning, and building machine learning models? Let's give it a try and find out.",Python,"- Jan 20, 2023."
Social User Authentication in Django Framework,Learn how to perform social user authentication in the Django web app using third-party services like Google.,Python,"- Jan 17, 2023."
3 Tools to Track and Visualize the Execution of Your Python Code,Avoid headaches when debugging in one line of code.,Python,"- Jan 10, 2023."
How to Perform Unit Testing in Python?,Unit testing is an important part of the software development life cycle as it helps to ensure that code is correct and working as intended. This article aims to introduce the concept of unit testing in Python and provide a basic tutorial on how to write and run unit tests using a unittest module.,Python,"- Jan 9, 2023."
"Python Lambda Functions, Explained","Learn the syntax and uses of the lambda function, which is an alternative to the regular Python function.",Python,"- Jan 6, 2023."
12 Essential Commands for Streamlit,Learn about the most commonly used Streamlit commands and build a customized web application.,Python,"- Jan 2, 2023."
"Top 38 Python Libraries for Data Science, Data Visualization & Machine Learning","This article compiles the 38 top Python libraries for data science, data visualization & machine learning, as best determined by KDnuggets staff.",Python,"- Dec 29, 2022."
The Zen of Python,"Python is one of the programming languages that are very versatile and relatively easy to learn. Hence it is the choice of many new programmers, regardless of what area of tech they are interested in. It is particularly popular in all data science branches.",Python,"- Dec 29, 2022."
3 More SQL Aggregate Function Interview Questions for Data Science,Lacking inspiration on how to prepare SQL aggregate functions for a job interview? Here are three interview question suggestions to get you out of a rut.,SQL,"- Jan 30, 2023."
Top 10 Advanced Data Science SQL Interview Questions You Must Know How to Answer,"In this article, we will give a list of commonly asked SQL interview questions to help you prepare for your coming technical interview.",SQL,"- Jan 27, 2023."
7 Best Platforms to Practice SQL,"Looking to level up your SQL skills? Here's a list of the best platforms to practice SQL, ace your SQL interviews, and land your dream data role.",SQL,"- Jan 13, 2023."
SQL With CSVs,Write SQL query to analyze CSV files using the simple command line tool.,SQL,"- Jan 5, 2023."
4 Useful Intermediate SQL Queries for Data Science,"SQL is the essential language for developers, engineers, and data professionals. Intermediate knowledge in SQL gives you an edge in your data science career.",SQL,"- Dec 6, 2022."
7 SQL Concepts You Should Know For Data Science,The post explains all the key elements of SQL that you must know as a data science practitioner.,SQL,"- Nov 18, 2022."
Analyzing Diversity & Inclusion with SQL,The most underrated SQL function for analyzing diversity.,SQL,"- Nov 9, 2022."
10 Essential SQL Commands for Data Science,"Learn SQL commands for filtering, string operations, alias, joining tables, if-else statements, and grouping.",SQL,"- Oct 20, 2022."
25 Advanced SQL Interview Questions for Data Scientists,Check out this collection of advanced SQL interview questions with answers.,SQL,"- Oct 18, 2022."
How to Get Up and Running with SQL – A List of Free Learning Resources,We have compiled a list of the top free resources to help new data practitioners learn SQL. These include free online courses and resources to get the most out of your SQL skills.,SQL,"- Oct 7, 2022."
